run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
General-1-20200611-17:02:09-3548,runattr,,,configname,General,,,,,,,
General-1-20200611-17:02:09-3548,runattr,,,datetime,20200611-17:02:09,,,,,,,
General-1-20200611-17:02:09-3548,runattr,,,experiment,General,,,,,,,
General-1-20200611-17:02:09-3548,runattr,,,inifile,omnetpp.ini,,,,,,,
General-1-20200611-17:02:09-3548,runattr,,,iterationvars,$0=2ms,,,,,,,
General-1-20200611-17:02:09-3548,runattr,,,iterationvarsf,2ms-,,,,,,,
General-1-20200611-17:02:09-3548,runattr,,,measurement,$0=2ms,,,,,,,
General-1-20200611-17:02:09-3548,runattr,,,network,CellularNetwork,,,,,,,
General-1-20200611-17:02:09-3548,runattr,,,processid,3548,,,,,,,
General-1-20200611-17:02:09-3548,runattr,,,repetition,1,,,,,,,
General-1-20200611-17:02:09-3548,runattr,,,replication,#1,,,,,,,
General-1-20200611-17:02:09-3548,runattr,,,resultdir,results,,,,,,,
General-1-20200611-17:02:09-3548,runattr,,,runnumber,1,,,,,,,
General-1-20200611-17:02:09-3548,runattr,,,seedset,1,,,,,,,
General-1-20200611-17:02:09-3548,param,,,**.nUsers,10,,,,,,,
General-1-20200611-17:02:09-3548,param,,,**.timeslot,1ms,,,,,,,
General-1-20200611-17:02:09-3548,param,,,**.lambda,2ms,,,,,,,
General-1-20200611-17:02:09-3548,param,,,**.successProbGroup1,0.15,,,,,,,
General-1-20200611-17:02:09-3548,param,,,**.successProbGroup2,0,,,,,,,
General-1-20200611-17:02:09-3548,param,,,**.successProbGroup3,0.85,,,,,,,
General-1-20200611-17:02:09-3548,param,,,**.isBinomial,true,,,,,,,
General-13-20200611-17:03:09-4436,runattr,,,configname,General,,,,,,,
General-13-20200611-17:03:09-4436,runattr,,,datetime,20200611-17:03:09,,,,,,,
General-13-20200611-17:03:09-4436,runattr,,,experiment,General,,,,,,,
General-13-20200611-17:03:09-4436,runattr,,,inifile,omnetpp.ini,,,,,,,
General-13-20200611-17:03:09-4436,runattr,,,iterationvars,$0=2ms,,,,,,,
General-13-20200611-17:03:09-4436,runattr,,,iterationvarsf,2ms-,,,,,,,
General-13-20200611-17:03:09-4436,runattr,,,measurement,$0=2ms,,,,,,,
General-13-20200611-17:03:09-4436,runattr,,,network,CellularNetwork,,,,,,,
General-13-20200611-17:03:09-4436,runattr,,,processid,4436,,,,,,,
General-13-20200611-17:03:09-4436,runattr,,,repetition,13,,,,,,,
General-13-20200611-17:03:09-4436,runattr,,,replication,#13,,,,,,,
General-13-20200611-17:03:09-4436,runattr,,,resultdir,results,,,,,,,
General-13-20200611-17:03:09-4436,runattr,,,runnumber,13,,,,,,,
General-13-20200611-17:03:09-4436,runattr,,,seedset,13,,,,,,,
General-13-20200611-17:03:09-4436,param,,,**.nUsers,10,,,,,,,
General-13-20200611-17:03:09-4436,param,,,**.timeslot,1ms,,,,,,,
