run,type,module,name,attrname,attrvalue,value
General-18-20200127-16:41:50-10504,param,,,**.antenna.successProbGroup1,0.2,
General-18-20200127-16:41:50-10504,param,,,**.antenna.successProbGroup2,0.5,
General-18-20200127-16:41:50-10504,param,,,**.antenna.successProbGroup3,0.9,
General-18-20200127-16:41:50-10504,param,,,**.antenna.isBinomial,true,
General-19-20200127-16:41:57-10768,runattr,,,configname,General,
General-19-20200127-16:41:57-10768,runattr,,,datetime,20200127-16:41:57,
General-19-20200127-16:41:57-10768,runattr,,,experiment,General,
General-19-20200127-16:41:57-10768,runattr,,,inifile,omnetpp.ini,
General-19-20200127-16:41:57-10768,runattr,,,iterationvars,,
General-19-20200127-16:41:57-10768,runattr,,,iterationvarsf,,
General-19-20200127-16:41:57-10768,runattr,,,measurement,,
General-19-20200127-16:41:57-10768,runattr,,,network,CellularNetwork,
General-19-20200127-16:41:57-10768,runattr,,,processid,10768,
General-19-20200127-16:41:57-10768,runattr,,,repetition,19,
General-19-20200127-16:41:57-10768,runattr,,,replication,#19,
General-19-20200127-16:41:57-10768,runattr,,,resultdir,results,
General-19-20200127-16:41:57-10768,runattr,,,runnumber,19,
General-19-20200127-16:41:57-10768,runattr,,,seedset,19,
General-19-20200127-16:41:57-10768,param,,,**.nUsers,10,
General-19-20200127-16:41:57-10768,param,,,**.antenna.timeslot,1ms,
General-19-20200127-16:41:57-10768,param,,,**.antenna.lambda,2ms,
General-19-20200127-16:41:57-10768,param,,,**.antenna.successProbGroup1,0.2,
General-19-20200127-16:41:57-10768,param,,,**.antenna.successProbGroup2,0.5,
General-19-20200127-16:41:57-10768,param,,,**.antenna.successProbGroup3,0.9,
General-19-20200127-16:41:57-10768,param,,,**.antenna.isBinomial,true,
General-2-20200127-16:40:16-12844,runattr,,,configname,General,
General-2-20200127-16:40:16-12844,runattr,,,datetime,20200127-16:40:16,
General-2-20200127-16:40:16-12844,runattr,,,experiment,General,
General-2-20200127-16:40:16-12844,runattr,,,inifile,omnetpp.ini,
General-2-20200127-16:40:16-12844,runattr,,,iterationvars,,
General-2-20200127-16:40:16-12844,runattr,,,iterationvarsf,,
General-2-20200127-16:40:16-12844,runattr,,,measurement,,
General-2-20200127-16:40:16-12844,runattr,,,network,CellularNetwork,
General-2-20200127-16:40:16-12844,runattr,,,processid,12844,
General-2-20200127-16:40:16-12844,runattr,,,repetition,2,
General-2-20200127-16:40:16-12844,runattr,,,replication,#2,
General-2-20200127-16:40:16-12844,runattr,,,resultdir,results,
General-2-20200127-16:40:16-12844,runattr,,,runnumber,2,
General-2-20200127-16:40:16-12844,runattr,,,seedset,2,
