run,type,module,name,attrname,attrvalue,value
General-62-20200224-18:11:37-13992,runattr,,,iterationvarsf,5ms-,
General-62-20200224-18:11:37-13992,runattr,,,measurement,$0=5ms,
General-62-20200224-18:11:37-13992,runattr,,,network,CellularNetwork,
General-62-20200224-18:11:37-13992,runattr,,,processid,13992,
General-62-20200224-18:11:37-13992,runattr,,,repetition,62,
General-62-20200224-18:11:37-13992,runattr,,,replication,#62,
General-62-20200224-18:11:37-13992,runattr,,,resultdir,results,
General-62-20200224-18:11:37-13992,runattr,,,runnumber,62,
General-62-20200224-18:11:37-13992,runattr,,,seedset,62,
General-62-20200224-18:11:37-13992,param,,,**.nUsers,10,
General-62-20200224-18:11:37-13992,param,,,**.antenna.timeslot,1ms,
General-62-20200224-18:11:37-13992,param,,,**.antenna.lambda,5ms,
General-62-20200224-18:11:37-13992,param,,,**.antenna.successProbGroup1,0.125,
General-62-20200224-18:11:37-13992,param,,,**.antenna.successProbGroup2,0.25,
General-62-20200224-18:11:37-13992,param,,,**.antenna.successProbGroup3,0.625,
General-62-20200224-18:11:37-13992,param,,,**.antenna.isBinomial,false,
General-45-20200224-18:11:10-18288,runattr,,,configname,General,
General-45-20200224-18:11:10-18288,runattr,,,datetime,20200224-18:11:10,
General-45-20200224-18:11:10-18288,runattr,,,experiment,General,
General-45-20200224-18:11:10-18288,runattr,,,inifile,omnetpp.ini,
General-45-20200224-18:11:10-18288,runattr,,,iterationvars,$0=5ms,
General-45-20200224-18:11:10-18288,runattr,,,iterationvarsf,5ms-,
General-45-20200224-18:11:10-18288,runattr,,,measurement,$0=5ms,
General-45-20200224-18:11:10-18288,runattr,,,network,CellularNetwork,
General-45-20200224-18:11:10-18288,runattr,,,processid,18288,
General-45-20200224-18:11:10-18288,runattr,,,repetition,45,
General-45-20200224-18:11:10-18288,runattr,,,replication,#45,
General-45-20200224-18:11:10-18288,runattr,,,resultdir,results,
General-45-20200224-18:11:10-18288,runattr,,,runnumber,45,
General-45-20200224-18:11:10-18288,runattr,,,seedset,45,
General-45-20200224-18:11:10-18288,param,,,**.nUsers,10,
General-45-20200224-18:11:10-18288,param,,,**.antenna.timeslot,1ms,
General-45-20200224-18:11:10-18288,param,,,**.antenna.lambda,5ms,
General-45-20200224-18:11:10-18288,param,,,**.antenna.successProbGroup1,0.125,
General-45-20200224-18:11:10-18288,param,,,**.antenna.successProbGroup2,0.25,
General-45-20200224-18:11:10-18288,param,,,**.antenna.successProbGroup3,0.625,
General-45-20200224-18:11:10-18288,param,,,**.antenna.isBinomial,false,
General-68-20200224-18:11:46-2828,runattr,,,configname,General,
General-68-20200224-18:11:46-2828,runattr,,,datetime,20200224-18:11:46,
General-68-20200224-18:11:46-2828,runattr,,,experiment,General,
General-68-20200224-18:11:46-2828,runattr,,,inifile,omnetpp.ini,
General-68-20200224-18:11:46-2828,runattr,,,iterationvars,$0=5ms,
General-68-20200224-18:11:46-2828,runattr,,,iterationvarsf,5ms-,
General-68-20200224-18:11:46-2828,runattr,,,measurement,$0=5ms,
General-68-20200224-18:11:46-2828,runattr,,,network,CellularNetwork,
General-68-20200224-18:11:46-2828,runattr,,,processid,2828,
General-68-20200224-18:11:46-2828,runattr,,,repetition,68,
General-68-20200224-18:11:46-2828,runattr,,,replication,#68,
General-68-20200224-18:11:46-2828,runattr,,,resultdir,results,
General-68-20200224-18:11:46-2828,runattr,,,runnumber,68,
General-68-20200224-18:11:46-2828,runattr,,,seedset,68,
General-68-20200224-18:11:46-2828,param,,,**.nUsers,10,
General-68-20200224-18:11:46-2828,param,,,**.antenna.timeslot,1ms,
General-68-20200224-18:11:46-2828,param,,,**.antenna.lambda,5ms,
General-68-20200224-18:11:46-2828,param,,,**.antenna.successProbGroup1,0.125,
General-68-20200224-18:11:46-2828,param,,,**.antenna.successProbGroup2,0.25,
General-68-20200224-18:11:46-2828,param,,,**.antenna.successProbGroup3,0.625,
General-68-20200224-18:11:46-2828,param,,,**.antenna.isBinomial,false,
General-51-20200224-18:11:19-22944,runattr,,,configname,General,
General-51-20200224-18:11:19-22944,runattr,,,datetime,20200224-18:11:19,
General-51-20200224-18:11:19-22944,runattr,,,experiment,General,
General-51-20200224-18:11:19-22944,runattr,,,inifile,omnetpp.ini,
General-51-20200224-18:11:19-22944,runattr,,,iterationvars,$0=5ms,
General-51-20200224-18:11:19-22944,runattr,,,iterationvarsf,5ms-,
General-51-20200224-18:11:19-22944,runattr,,,measurement,$0=5ms,
General-51-20200224-18:11:19-22944,runattr,,,network,CellularNetwork,
General-51-20200224-18:11:19-22944,runattr,,,processid,22944,
General-51-20200224-18:11:19-22944,runattr,,,repetition,51,
General-51-20200224-18:11:19-22944,runattr,,,replication,#51,
General-51-20200224-18:11:19-22944,runattr,,,resultdir,results,
General-51-20200224-18:11:19-22944,runattr,,,runnumber,51,
General-51-20200224-18:11:19-22944,runattr,,,seedset,51,
General-51-20200224-18:11:19-22944,param,,,**.nUsers,10,
General-51-20200224-18:11:19-22944,param,,,**.antenna.timeslot,1ms,
General-51-20200224-18:11:19-22944,param,,,**.antenna.lambda,5ms,
General-51-20200224-18:11:19-22944,param,,,**.antenna.successProbGroup1,0.125,
General-51-20200224-18:11:19-22944,param,,,**.antenna.successProbGroup2,0.25,
General-51-20200224-18:11:19-22944,param,,,**.antenna.successProbGroup3,0.625,
