run,type,module,name,attrname,attrvalue,value
General-33-20200127-18:34:03-14420,runattr,,,iterationvars,,
General-33-20200127-18:34:03-14420,runattr,,,iterationvarsf,,
General-33-20200127-18:34:03-14420,runattr,,,measurement,,
General-33-20200127-18:34:03-14420,runattr,,,network,CellularNetwork,
General-33-20200127-18:34:03-14420,runattr,,,processid,14420,
General-33-20200127-18:34:03-14420,runattr,,,repetition,33,
General-33-20200127-18:34:03-14420,runattr,,,replication,#33,
General-33-20200127-18:34:03-14420,runattr,,,resultdir,results,
General-33-20200127-18:34:03-14420,runattr,,,runnumber,33,
General-33-20200127-18:34:03-14420,runattr,,,seedset,33,
General-33-20200127-18:34:03-14420,param,,,**.nUsers,10,
General-33-20200127-18:34:03-14420,param,,,**.antenna.timeslot,1ms,
General-33-20200127-18:34:03-14420,param,,,**.antenna.lambda,5ms,
General-33-20200127-18:34:03-14420,param,,,**.antenna.successProbGroup1,0.2,
General-33-20200127-18:34:03-14420,param,,,**.antenna.successProbGroup2,0.5,
General-33-20200127-18:34:03-14420,param,,,**.antenna.successProbGroup3,0.9,
General-33-20200127-18:34:03-14420,param,,,**.antenna.isBinomial,false,
General-25-20200127-18:32:51-6448,runattr,,,configname,General,
General-25-20200127-18:32:51-6448,runattr,,,datetime,20200127-18:32:51,
General-25-20200127-18:32:51-6448,runattr,,,experiment,General,
General-25-20200127-18:32:51-6448,runattr,,,inifile,omnetpp.ini,
General-25-20200127-18:32:51-6448,runattr,,,iterationvars,,
General-25-20200127-18:32:51-6448,runattr,,,iterationvarsf,,
General-25-20200127-18:32:51-6448,runattr,,,measurement,,
General-25-20200127-18:32:51-6448,runattr,,,network,CellularNetwork,
General-25-20200127-18:32:51-6448,runattr,,,processid,6448,
General-25-20200127-18:32:51-6448,runattr,,,repetition,25,
General-25-20200127-18:32:51-6448,runattr,,,replication,#25,
General-25-20200127-18:32:51-6448,runattr,,,resultdir,results,
General-25-20200127-18:32:51-6448,runattr,,,runnumber,25,
General-25-20200127-18:32:51-6448,runattr,,,seedset,25,
General-25-20200127-18:32:51-6448,param,,,**.nUsers,10,
General-25-20200127-18:32:51-6448,param,,,**.antenna.timeslot,1ms,
General-25-20200127-18:32:51-6448,param,,,**.antenna.lambda,5ms,
General-25-20200127-18:32:51-6448,param,,,**.antenna.successProbGroup1,0.2,
General-25-20200127-18:32:51-6448,param,,,**.antenna.successProbGroup2,0.5,
General-25-20200127-18:32:51-6448,param,,,**.antenna.successProbGroup3,0.9,
General-25-20200127-18:32:51-6448,param,,,**.antenna.isBinomial,false,
General-29-20200127-18:33:26-11516,runattr,,,configname,General,
General-29-20200127-18:33:26-11516,runattr,,,datetime,20200127-18:33:26,
General-29-20200127-18:33:26-11516,runattr,,,experiment,General,
General-29-20200127-18:33:26-11516,runattr,,,inifile,omnetpp.ini,
General-29-20200127-18:33:26-11516,runattr,,,iterationvars,,
General-29-20200127-18:33:26-11516,runattr,,,iterationvarsf,,
General-29-20200127-18:33:26-11516,runattr,,,measurement,,
General-29-20200127-18:33:26-11516,runattr,,,network,CellularNetwork,
General-29-20200127-18:33:26-11516,runattr,,,processid,11516,
General-29-20200127-18:33:26-11516,runattr,,,repetition,29,
General-29-20200127-18:33:26-11516,runattr,,,replication,#29,
General-29-20200127-18:33:26-11516,runattr,,,resultdir,results,
General-29-20200127-18:33:26-11516,runattr,,,runnumber,29,
General-29-20200127-18:33:26-11516,runattr,,,seedset,29,
General-29-20200127-18:33:26-11516,param,,,**.nUsers,10,
General-29-20200127-18:33:26-11516,param,,,**.antenna.timeslot,1ms,
General-29-20200127-18:33:26-11516,param,,,**.antenna.lambda,5ms,
